date,MedianListingPricePerSqft_AllHomes,MedianRentalPricePerSqft_AllHomes,PctOfHomesDecreasingInValues_AllHomes,PctOfHomesIncreasingInValues_AllHomes,state_id
2014-05-31,90.07575757575759,0.637156270959088,40.33,52.96,0
2014-06-30,90.06653992395441,0.639965870307167,43.44,50.38,0
2014-07-31,89.95815899581591,0.6436413471800021,45.33,48.82,0
2014-08-31,89.3775767807904,0.6355932203389829,45.97,48.27,0
2014-09-30,89.1653653299413,0.6326949384404928,46.2,48.14,0
2014-10-31,88.628762541806,0.634407812751546,46.48,48.07,0
2014-11-30,88.3221103644912,0.6330067628918679,46.91,47.49,0
2014-12-31,87.28098637248542,0.634615384615385,47.53,46.97,0
2015-01-31,88.1587229716363,0.642604855180843,48.27,46.18,0
2015-02-28,88.8030888030888,0.6355932203389829,48.28,46.28,0
2015-03-31,89.51071314358809,0.6355932203389829,47.25,46.6,0
2015-04-30,90.17482517482522,0.639386189258312,44.22,47.79,0
2015-05-31,89.8046875,0.6450488145048809,41.47,49.52,0
2015-06-30,90.03202562049641,0.646551724137931,39.29,52.34,0
2015-07-31,89.63963963963958,0.646766169154229,36.98,55.3,0
2015-08-31,89.6181278943511,0.6404449782192729,35.39,57.05,0
2015-09-30,89.7747494491098,0.637130632931124,34.97,56.42,0
2015-10-31,89.5338067304724,0.63851235686673,37.5,53.81,0
2015-11-30,89.57682476569158,0.641025641025641,37.71,54.23,0
2015-12-31,89.07129455909941,0.64060843857641,35.9,55.39,0
2016-01-31,89.1200951248514,0.648148148148148,35.0,56.59,0
2016-02-29,89.32104895921101,0.6482238788946589,35.51,55.71,0
2016-03-31,90.60747663551399,0.651529776529777,36.4,54.27,0
2016-04-30,91.67842031029622,0.646132705855328,38.46,52.5,0
2016-05-31,91.6193181818182,0.645580579934607,36.63,52.19,0
2016-06-30,91.6193181818182,0.665512696006167,37.23,52.06,0
2016-07-31,91.2562257885999,0.671817274126422,37.03,52.28,0
2016-08-31,90.83828874929421,0.6696428571428571,36.74,52.86,0
2016-09-30,90.6791371878728,0.643163411148166,35.55,54.12,0
2016-10-31,90.4051527892215,0.660919540229885,35.52,54.0,0
2016-11-30,90.4545454545455,0.6652096852076811,34.06,56.6,0
2016-12-31,90.1089401869438,0.648550724637681,32.3,58.94,0
2017-01-31,90.60681629260179,0.6750232774674121,32.19,58.19,0
2017-02-28,91.5743073047859,0.6857798165137621,29.85,60.38,0
2017-03-31,93.3074148948795,0.6857798165137621,28.34,62.01,0
2017-04-30,95.374449339207,0.689484126984127,29.78,60.57,0
2017-05-31,95.34883720930229,0.6875800370381789,28.94,61.42,0
2017-06-30,95.2998885172798,0.682982356289129,30.92,59.63,0
2017-07-31,95.11132623426909,0.684822441322747,31.12,59.73,0
2017-08-31,95.1718339872879,0.6820816310768559,30.83,59.78,0
2017-09-30,95.90604026845641,0.687311178247734,31.07,59.74,0
2017-10-31,95.9488272921109,0.6899203284007212,31.03,59.93,0
2017-11-30,94.55184534270651,0.694444444444444,31.18,59.83,0
2017-12-31,94.28862825089242,0.694444444444444,32.25,59.36,0
2010-03-31,113.761904761905,1.07913669064748,87.21,8.94,8
2010-04-30,111.77525403466801,1.1119510675370199,85.37,10.32,8
2010-05-31,109.52902519167601,1.1128373754456102,83.04,12.11,8
2010-06-30,106.481481481481,1.1396011396011398,81.16,13.61,8
2010-07-31,105.028142589118,0.970107886289175,79.82,14.71,8
