state_abr,crime_rate_per_100000,CPOPARST,CPOPCRIM,AG_ARRST,AG_OFF,COVIND,INDEX,MODINDX,MURDER,RAPE,ROBBERY,AGASSLT,BURGLRY,LARCENY,MVTHEFT,ARSON,population,FIPS_ST,FIPS_CTY,year
 SD,99.3877982960606,12626.575757575758,11662.287878787878,2.1515151515151514,2.015151515151515,99.52406363636364,28.575757575757574,238.9848484848485,0.22727272727272727,7.181818181818182,2.1363636363636362,19.03030303030303,43.121212121212125,182.15151515151516,13.712121212121213,1.7121212121212122,12801.166666666666,46,68.12121212121212,2016
 TN,401.28834746263163,67960.45263157894,67960.45263157894,4.8,5.052631578947368,99.92692421052631,432.82105263157894,2290.4,4.178947368421053,21.49473684210526,85.7578947368421,321.36842105263156,591.0631578947368,1562.9894736842105,136.2,12.76842105263158,68378.71578947369,47,95.0,2016
 TX,255.00281577769704,102595.28740157481,102406.03543307087,4.200787401574803,4.464566929133858,99.72498700787402,418.38188976377955,3447.681102362205,4.519685039370079,30.248031496062993,119.56299212598425,264.0472440944882,806.4448818897638,2385.1535433070867,256.0748031496063,17.47244094488189,104126.74409448818,48,254.0,2016
 UT,145.26061103827584,98458.1724137931,97793.6551724138,4.620689655172414,4.482758620689655,99.83620689655173,199.3793103448276,2903.137931034483,1.7586206896551724,33.13793103448276,36.86206896551724,127.55172413793103,441.13793103448273,2258.3793103448274,203.31034482758622,9.310344827586206,100030.06896551725,49,29.0,2016
 VA,173.34044922791043,61088.55970149254,61088.55970149254,3.216417910447761,3.1343283582089554,99.98145223880597,116.86567164179104,1330.313432835821,2.4029850746268657,11.223880597014926,35.201492537313435,68.03731343283582,221.1417910447761,1041.1194029850747,68.01492537313433,9.335820895522389,61644.81343283582,51,265.86567164179104,2016
 VT,119.25284441214285,44715.07142857143,44498.5,6.357142857142857,6.142857142857143,99.81171428571429,62.642857142857146,1109.9285714285713,0.5714285714285714,9.142857142857142,8.0,44.92857142857143,296.14285714285717,781.0714285714286,32.714285714285715,5.214285714285714,44759.28571428572,50,14.0,2016
 WA,205.44982844384617,176846.46153846153,176683.07692307694,6.333333333333333,6.384615384615385,98.86033076923074,517.1025641025641,6427.461538461538,5.410256410256411,55.8974358974359,147.56410256410257,308.1794871794872,1549.1538461538462,4209.051282051282,669.2051282051282,31.615384615384617,178754.0,53,39.0,2016
 WI,142.59951663125,79533.30555555556,78294.86111111111,5.513888888888889,5.625,98.40825000000001,222.40277777777777,1911.888888888889,2.3333333333333335,16.73611111111111,64.875,138.45833333333334,380.06944444444446,1419.1944444444443,112.63888888888889,10.11111111111111,79759.90277777778,55,71.09722222222223,2016
 WV,252.77418984890903,33734.781818181815,31549.763636363637,8.89090909090909,5.3090909090909095,96.34760363636362,100.9090909090909,759.4,1.2727272727272727,7.236363636363636,14.436363636363636,77.98181818181818,201.98181818181817,517.4727272727273,39.89090909090909,5.9818181818181815,33714.61818181818,54,55.0,2016
 WY,155.0011819913044,25061.391304347828,24175.260869565216,2.9565217391304346,2.608695652173913,99.90590434782608,47.26086956521739,556.4782608695652,0.6086956521739131,6.391304347826087,2.608695652173913,37.65217391304348,89.26086956521739,443.39130434782606,23.82608695652174,3.9565217391304346,25332.956521739132,56,23.0,2016
