,Code,Name
982,17023,Clark County
983,17025,Clay County
984,17027,Clinton County
985,17029,Coles County
986,17031,Cook County
987,17033,Crawford County
988,17035,Cumberland County
989,17039,De Witt County
990,17037,DeKalb County
991,17041,Douglas County
992,17043,DuPage County
993,17045,Edgar County
994,17047,Edwards County
995,17049,Effingham County
996,17051,Fayette County
997,17053,Ford County
998,17055,Franklin County
999,17057,Fulton County
1000,17059,Gallatin County
1001,17061,Greene County
1002,17063,Grundy County
1003,17065,Hamilton County
1004,17067,Hancock County
1005,17069,Hardin County
1006,17071,Henderson County
1007,17073,Henry County
1008,17075,Iroquois County
1009,17077,Jackson County
1010,17079,Jasper County
1011,17081,Jefferson County
1012,17083,Jersey County
1013,17085,Jo Daviess County
1014,17087,Johnson County
1015,17089,Kane County
1016,17091,Kankakee County
1017,17093,Kendall County
1018,17095,Knox County
1019,17099,LaSalle County
1020,17097,Lake County
1021,17101,Lawrence County
1022,17103,Lee County
1023,17105,Livingston County
1024,17107,Logan County
1025,17115,Macon County
1026,17117,Macoupin County
1027,17119,Madison County
1028,17121,Marion County
1029,17123,Marshall County
1030,17125,Mason County
1031,17127,Massac County
1032,17109,McDonough County
1033,17111,McHenry County
1034,17113,McLean County
1035,17129,Menard County
1036,17131,Mercer County
1037,17133,Monroe County
1038,17135,Montgomery County
1039,17137,Morgan County
1040,17139,Moultrie County
1041,17141,Ogle County
1042,17143,Peoria County
1043,17145,Perry County
1044,17147,Piatt County
1045,17149,Pike County
1046,17151,Pope County
1047,17153,Pulaski County
1048,17155,Putnam County
1049,17157,Randolph County
1050,17159,Richland County
1051,17161,Rock Island County
1052,17165,Saline County
1053,17167,Sangamon County
1054,17169,Schuyler County
1055,17171,Scott County
1056,17173,Shelby County
1057,17163,St. Clair County
1058,17175,Stark County
1059,17177,Stephenson County
1060,17179,Tazewell County
1061,17181,Union County
1062,17183,Vermilion County
1063,17185,Wabash County
1064,17187,Warren County
1065,17189,Washington County
1066,17191,Wayne County
1067,17193,White County
1068,17195,Whiteside County
1069,17197,Will County
1070,17199,Williamson County
1071,17201,Winnebago County
1072,17203,Woodford County
1073,8001,Adams County
1074,8003,Alamosa County
1075,8005,Arapahoe County
1076,8007,Archuleta County
1077,8009,Baca County
1078,8011,Bent County
1079,8013,Boulder County
1080,8015,Chaffee County
1081,8017,Cheyenne County
1082,8019,Clear Creek County
1083,8021,Conejos County
1084,8023,Costilla County
1085,8025,Crowley County
1086,8027,Custer County
1087,8029,Delta County
1088,8031,Denver County
1089,8033,Dolores County
1090,8035,Douglas County
1091,8037,Eagle County
1092,8041,El Paso County
1093,8039,Elbert County
1094,8043,Fremont County
1095,8045,Garfield County
1096,8047,Gilpin County
1097,8049,Grand County
1098,8051,Gunnison County
1099,8053,Hinsdale County
1100,8055,Huerfano County
1101,8057,Jackson County
1102,8059,Jefferson County
1103,8061,Kiowa County
1104,8063,Kit Carson County
1105,8067,La Plata County
1106,8065,Lake County
1107,8069,Larimer County
1108,8071,Las Animas County
1109,8073,Lincoln County
1110,8075,Logan County
1111,8077,Mesa County
1112,8079,Mineral County
1113,8081,Moffat County
1114,8083,Montezuma County
1115,8085,Montrose County
1116,8087,Morgan County
1117,8089,Otero County
1118,8091,Ouray County
1119,8093,Park County
1120,8095,Phillips County
1121,8097,Pitkin County
1122,8099,Prowers County
1123,8101,Pueblo County
1124,8103,Rio Blanco County
1125,8105,Rio Grande County
1126,8107,Routt County
1127,8109,Saguache County
1128,8111,San Juan County
1129,8113,San Miguel County
1130,8115,Sedgwick County
1131,8117,Summit County
1132,8119,Teller County
1133,8121,Washington County
1134,8123,Weld County
1135,8125,Yuma County
1136,55001,Adams County
1137,55003,Ashland County
1138,55005,Barron County
1139,55007,Bayfield County
1140,55009,Brown County
1141,55011,Buffalo County
1142,55013,Burnett County
1143,55015,Calumet County
1144,55017,Chippewa County
1145,55019,Clark County
1146,55021,Columbia County
1147,55023,Crawford County
1148,55025,Dane County
1149,55027,Dodge County
1150,55029,Door County
1151,55031,Douglas County
1152,55033,Dunn County
1153,55035,Eau Claire County
1154,55037,Florence County
1155,55039,Fond du Lac County
1156,55041,Forest County
1157,55043,Grant County
1158,55045,Green County
1159,55047,Green Lake County
1160,55049,Iowa County
1161,55051,Iron County
1162,55053,Jackson County
1163,55055,Jefferson County
1164,55057,Juneau County
1165,55059,Kenosha County
1166,55061,Kewaunee County
1167,55063,La Crosse County
1168,55065,Lafayette County
1169,55067,Langlade County
1170,55069,Lincoln County
1171,55071,Manitowoc County
1172,55073,Marathon County
1173,55075,Marinette County
1174,55077,Marquette County
1175,55078,Menominee County
1176,55079,Milwaukee County
1177,55081,Monroe County
1178,55083,Oconto County
1179,55085,Oneida County
1180,55087,Outagamie County
1181,55089,Ozaukee County
1182,55091,Pepin County
1183,55093,Pierce County
1184,55095,Polk County
1185,55097,Portage County
1186,55099,Price County
1187,55101,Racine County
1188,55103,Richland County
1189,55105,Rock County
1190,55107,Rusk County
1191,55111,Sauk County
1192,55113,Sawyer County
1193,55115,Shawano County
1194,55117,Sheboygan County
1195,55109,St. Croix County
1196,55119,Taylor County
1197,55121,Trempealeau County
1198,55123,Vernon County
1199,55125,Vilas County
1200,55127,Walworth County
1201,55129,Washburn County
1202,55131,Washington County
1203,55133,Waukesha County
1204,55135,Waupaca County
1205,55137,Waushara County
1206,55139,Winnebago County
1207,55141,Wood County
1208,42001,Adams County
1209,42003,Allegheny County
1210,42005,Armstrong County
1211,42007,Beaver County
1212,42009,Bedford County
1213,42011,Berks County
1214,42013,Blair County
1215,42015,Bradford County
1216,42017,Bucks County
1217,42019,Butler County
1218,42021,Cambria County
1219,42023,Cameron County
1220,42025,Carbon County
1221,42027,Centre County
1222,42029,Chester County
1223,42031,Clarion County
1224,42033,Clearfield County
1225,42035,Clinton County
